target_id	length	eff_length	est_counts	tpm
comp25505_c0_seq1	222	76.3653	29	5.74531
comp25316_c0_seq1	234	84.9394	4	0.712463
comp25188_c0_seq1	384	212.564	305	21.7081
comp24105_c0_seq1	512	335.522	37.9815	1.71263
comp24105_c0_seq2	230	82.0265	49.0185	9.04103
comp24531_c0_seq1	497	320.855	23	1.0845
comp24108_c0_seq1	278	118.991	101	12.8416
comp24326_c0_seq1	220	75.0349	164	33.0668
comp24738_c0_seq1	323	157.151	0	0
comp25576_c0_seq1	265	108.468	34	4.7423
comp24827_c0_seq1	213	70.2971	37	7.96298
comp24881_c0_seq1	364	194.008	103	8.03209
comp25400_c0_seq1	249	96.0863	24	3.77887
comp25935_c0_seq1	456	280.972	31	1.66921
comp25377_c0_seq1	237	87.1385	14	2.43069
comp24529_c0_seq1	346	177.558	3.7567	0.320095
comp24529_c0_seq2	204	64.4076	11.2433	2.641
comp24253_c0_seq1	304	140.721	4	0.430045
comp24557_c0_seq1	257	102.22	785	116.184
comp25090_c0_seq1	266	109.276	16	2.21516
comp24518_c0_seq1	394	221.857	10	0.681927
comp25544_c0_seq1	365	194.92	23	1.78519
comp25904_c0_seq1	377	206.042	3	0.220281
comp24790_c0_seq1	259	103.776	21	3.06151
comp24163_c0_seq1	543	366.011	9	0.372014
comp25920_c0_seq1	210	68.3166	5	1.10728
comp24188_c0_seq1	259	103.776	3	0.437358
comp25103_c0_seq1	319	153.681	211	20.7718
comp25393_c0_seq1	337	169.473	37	3.30303
comp24751_c0_seq1	244	92.3137	2	0.327775
comp24808_c0_seq1	284	123.921	765	93.3956
comp25312_c0_seq1	779	600.469	95	2.39356
comp25579_c0_seq1	295	133.073	33	3.75176
comp24580_c0_seq1	635	457.018	5	0.165519
comp25399_c0_seq1	254	99.9302	49	7.41841
comp24869_c0_seq1	236	86.4259	19	3.32599
comp24904_c0_seq1	382	210.679	4	0.287244
comp24994_c0_seq1	239	88.6332	46	7.85187
comp25252_c0_seq1	615	437.12	458	15.8517
comp24978_c0_seq1	432	257.911	40	2.3464
comp25671_c0_seq1	732	553.592	249	6.80489
comp24687_c0_seq1	237	87.1385	58	10.07
comp25063_c0_seq1	302	139.021	10	1.08826
comp24489_c0_seq1	256	101.46	3	0.447343
comp24379_c0_seq1	477	301.396	0	0
comp24397_c0_seq1	244	92.3137	1	0.163887
comp25215_c0_seq1	227	79.8916	204	38.6314
comp25633_c0_seq1	396	223.757	19	1.28466
comp25699_c0_seq1	207	66.4038	21	4.78452
comp24044_c0_seq1	384	212.564	41	2.91813
comp24235_c0_seq1	214	70.9113	7	1.49346
comp25909_c0_seq1	685	506.736	6	0.179135
comp25226_c0_seq1	338	170.372	0	0
comp25851_c0_seq1	445	270.389	23	1.28692
comp24590_c0_seq1	341	173.06	10	0.874207
comp24349_c0_seq1	304	140.721	26	2.79529
comp24635_c0_seq1	285	124.734	3	0.363871
comp24834_c0_seq1	237	87.1385	37	6.42397
comp24169_c0_seq1	201	62.4667	2	0.484387
comp24759_c0_seq1	659	480.884	2	0.0629218
comp25737_c0_seq1	446	271.334	269	14.9989
comp25299_c0_seq1	350	181.215	121	10.1019
comp24853_c0_seq1	590	412.405	0	0
comp25182_c0_seq1	568	390.623	141	5.46101
comp24703_c0_seq1	390	218.159	9	0.62414
comp25861_c0_seq1	208	67.0628	47	10.603
comp24537_c0_seq1	368	197.657	4	0.306167
comp24056_c0_seq1	454	279.052	28	1.51804
comp24312_c0_seq1	406	233.192	197	12.781
comp25550_c0_seq1	227	79.8916	3	0.568109
comp25410_c0_seq1	320	154.55	62	6.06923
comp24771_c0_seq1	222	76.3653	228	45.17
comp24577_c0_seq1	285	124.734	53	6.42838
comp25560_c0_seq1	477	301.396	311	15.6111
comp24675_c0_seq1	588	410.434	121	4.46019
comp25210_c0_seq1	240	89.3671	35	5.92519
comp25747_c0_seq1	285	124.734	670	81.2644
comp24824_c0_seq1	430	256.034	144	8.50896
comp25191_c0_seq1	291	129.633	42	4.90169
comp24971_c0_seq1	227	79.8916	0	0
comp24548_c0_seq1	347	178.468	155	13.1396
comp25334_c0_seq1	369	198.587	6	0.4571
comp24339_c0_seq1	495	318.892	19	0.901409
comp25775_c0_seq1	952	773.291	172	3.36509
comp24082_c0_seq1	365	194.92	174	13.5053
comp24140_c0_seq1	553	375.826	157	6.32011
comp24949_c0_seq1	307	143.304	28	2.95606
comp25764_c0_seq1	334	166.774	3573	324.127
comp25857_c0_seq1	741	562.584	274	7.36843
comp25527_c0_seq1	250	96.8716	0	0
comp25787_c0_seq1	201	62.4667	64	15.5004
comp24630_c0_seq1	360	190.311	4	0.317986
comp25929_c0_seq1	444	269.439	12	0.673801
comp25944_c0_seq1	283	123.121	45	5.52957
comp25894_c0_seq1	360	190.311	14	1.11295
comp24126_c0_seq1	347	178.468	702	59.5098
comp25678_c0_seq1	397	224.711	52	3.50099
comp24861_c0_seq1	302	139.021	76	8.27075
comp25623_c0_seq1	525	348.267	0	0
comp24093_c0_seq1	289	128.004	1	0.118192
