target_id,colors
XM_015810837.1,turquoise
XM_015810838.1,greenyellow
XM_015810839.1,blue
XM_015810840.1,red
XM_015810841.1,grey60
XM_015810842.1,turquoise
XM_015810843.1,turquoise
XM_015810844.1,turquoise
XM_015810845.2,blue
XM_015810847.1,blue
XM_015810848.1,blue
XM_015810849.1,cyan
XM_015810850.1,greenyellow
XM_015810851.1,grey60
XM_015810852.1,greenyellow
XM_015810854.1,turquoise
XM_015810855.1,blue
XM_015810857.2,blue
XM_015810858.1,turquoise
XM_015810862.1,turquoise
XM_015810865.1,grey60
XM_015810869.1,red
XM_015810870.1,greenyellow
XM_015810871.1,blue
XM_015810872.1,green
XM_015810873.1,turquoise
XM_015810874.1,turquoise
XM_015810875.1,turquoise
XM_015810876.1,greenyellow
XM_015810878.1,green
XM_015810880.1,green
XM_015810881.1,blue
XM_015810882.1,turquoise
XM_015810883.1,blue
XM_015810885.2,blue
XM_015810886.1,blue
XM_015810887.1,lightyellow
XM_015810888.1,turquoise
XM_015810889.1,blue
XM_015810890.1,red
XM_015810891.1,blue
XM_015810892.1,red
XM_015810894.1,cyan
XM_015810895.1,red
XM_015810896.1,blue
XM_015810900.1,cyan
XM_015810901.1,blue
XM_015810902.1,black
XM_015810903.2,black
XM_015810904.1,turquoise
XM_015810905.1,cyan
XM_015810906.1,blue
XM_015810907.1,green
XM_015810908.1,red
XM_015810909.1,lightcyan
XM_015810910.2,cyan
XM_015810911.2,greenyellow
XM_015810912.1,cyan
XM_015810915.1,green
XM_015810919.1,greenyellow
XM_015810921.1,blue
XM_015810925.1,salmon
XM_015810928.1,black
XM_015810932.1,salmon
XM_015810933.1,turquoise
XM_015810936.2,turquoise
XM_015810937.2,purple
XM_015810938.1,cyan
XM_015810939.1,green
XM_015810940.1,turquoise
XM_015810941.1,darkturquoise
XM_015810943.1,salmon
XM_015810944.1,greenyellow
XM_015810946.1,turquoise
XM_015810948.2,blue
XM_015810949.1,purple
XM_015810950.2,turquoise
XM_015810951.1,turquoise
XM_015810953.1,purple
XM_015810954.1,black
XM_015810955.1,darkturquoise
XM_015810957.1,salmon
XM_015810958.2,blue
XM_015810959.1,salmon
XM_015810961.1,grey60
XM_015810962.1,blue
XM_015810963.1,grey60
XM_015810964.1,grey60
XM_015810965.1,blue
XM_015810966.1,turquoise
XM_015810967.2,greenyellow
XM_015810969.1,lightgreen
XM_015810970.1,blue
XM_015810971.1,red
XM_015810973.1,darkred
XM_015810974.1,green
XM_015810975.1,turquoise
XM_015810976.1,turquoise
XM_015810978.1,turquoise
XM_015810979.1,turquoise
XM_015810982.2,turquoise
XM_015810983.1,green
XM_015810984.2,turquoise
XM_015810985.1,turquoise
XM_015810988.1,turquoise
XM_015810989.1,lightgreen
XM_015810991.1,blue
XM_015810993.1,darkred
XM_015810994.1,blue
XM_015810996.1,turquoise
XM_015810997.1,turquoise
XM_015810998.1,cyan
XM_015810999.1,blue
XM_015811000.2,blue
XM_015811001.1,blue
XM_015811002.1,black
XM_015811003.1,grey60
XM_015811004.1,blue
XM_015811005.2,turquoise
XM_015811006.2,black
XM_015811008.1,greenyellow
XM_015811009.1,black
XM_015811010.1,greenyellow
XM_015811011.1,black
XM_015811012.2,blue
XM_015811014.1,lightgreen
XM_015811015.1,lightgreen
XM_015811016.1,black
XM_015811017.1,greenyellow
XM_015811018.1,purple
XM_015811019.1,blue
XM_015811021.1,turquoise
XM_015811023.2,lightgreen
XM_015811024.2,purple
XM_015811025.2,greenyellow
XM_015811026.1,cyan
XM_015811027.1,turquoise
XM_015811029.1,turquoise
XM_015811030.1,lightgreen
XM_015811031.2,lightyellow
XM_015811034.1,lightyellow
XM_015811036.1,lightgreen
XM_015811037.1,black
XM_015811038.1,turquoise
XM_015811039.1,turquoise
XM_015811046.1,turquoise
XM_015811050.1,purple
XM_015811052.2,lightyellow
XM_015811054.1,purple
XM_015811055.1,blue
XM_015811056.1,greenyellow
XM_015811062.1,blue
XM_015811063.1,greenyellow
XM_015811064.1,grey60
XM_015811067.1,turquoise
XM_015811068.1,blue
XM_015811069.1,blue
XM_015811070.1,turquoise
XM_015811072.1,black
XM_015811074.2,purple
XM_015811075.1,purple
XM_015811076.1,purple
XM_015811077.1,blue
XM_015811078.1,blue
XM_015811079.1,green
XM_015811081.1,blue
XM_015811082.1,black
XM_015811083.1,greenyellow
XM_015811084.1,blue
XM_015811085.1,turquoise
XM_015811087.1,turquoise
XM_015811088.1,turquoise
XM_015811090.1,turquoise
XM_015811091.1,turquoise
XM_015811092.1,turquoise
XM_015811093.1,turquoise
XM_015811094.1,greenyellow
XM_015811095.1,green
XM_015811096.1,turquoise
XM_015811099.1,red
XM_015811100.2,lightgreen
XM_015811101.2,turquoise
XM_015811102.2,lightgreen
XM_015811103.1,turquoise
XM_015811108.1,turquoise
XM_015811109.1,blue
XM_015811110.1,turquoise
XM_015811111.1,purple
XM_015811113.1,greenyellow
XM_015811114.1,purple
XM_015811115.1,greenyellow
XM_015811116.1,lightcyan
XM_015811118.1,blue
XM_015811120.1,greenyellow
XM_015811122.1,greenyellow
XM_015811124.1,lightgreen
XM_015811125.1,blue
XM_015811126.1,greenyellow
XM_015811127.1,greenyellow
XM_015811128.2,turquoise
XM_015811129.1,blue
