target_id,Pm_1_f,Pm_2_f,Pm_3_m,Pm_4_f
XM_015810169.1,3069,4477,385,1095
XM_015810170.2,1,2,11,0
XM_015810171.1,1,0,0,1
XM_015810173.1,0,0,0,0
XM_015810174.1,2,3,2349,1
XM_015810175.1,0,0,0,0
XM_015810176.1,1,0,668,0
XM_015810177.1,0,2,5121,4
XM_015810178.1,0,2,131,1
XM_015810179.1,0,0,1,2
XM_015810180.1,2527.14,3.43816,2343.68,3645.92
XM_015810181.1,839,6,6318,12
XM_015810182.1,0,0,0,1
XM_015810183.1,0,0,5487.88,4
XM_015810184.1,0,0,0,0
XM_015810185.1,0,0,0,0
XM_015810186.1,0,0,0,0
XM_015810187.1,1,0,4,5
XM_015810188.1,0,0,0,0
XM_015810190.2,1,0,38,3
XM_015810191.1,95.5184,1,0,2.18563
XM_015810192.1,4.45943,0,5796.79,6.07627
XM_015810193.1,5,9,6476.29,1962
XM_015810194.1,209.022,4,2030.21,3.7381
XM_015810195.1,4,2,2,1
XM_015810196.1,1048,1,1699,1806
XM_015810197.1,0,2,5386,3
XM_015810198.1,3,3,5,111
XM_015810200.2,0,1.02688,1541.85,2
XM_015810201.1,1,1.17975,0.415261,0.497936
XM_015810202.1,0,3.82025,3.58474,5.50206
XM_015810203.1,0,0,0,0
XM_015810204.1,8,4,11,12671
XM_015810205.1,0,0,2469,0
XM_015810206.1,0,0,0,0
XM_015810207.1,0,0,0,0
XM_015810208.1,0,0,1,1
XM_015810209.1,0,0,0,0
XM_015810210.1,0,0,0,0
XM_015810211.1,4,1,7,4526
XM_015810212.2,0,0,0,0
XM_015810213.1,0,0,0,0
XM_015810214.1,4,2,1816,8
XM_015810215.1,0,0,0,0
XM_015810217.1,0,0,0,0
XM_015810218.1,0,1,1,4850
XM_015810219.2,0,0,0,1
XM_015810220.1,0,0,1,0
XM_015810223.1,0,0,0,0
XM_015810224.1,0,0,0,0
XM_015810225.1,0,0,0,0
XM_015810226.1,0,0,0,0
XM_015810227.1,2,4,3216,3557
XM_015810230.1,0,0,0,0
XM_015810231.1,0,0,0,0
XM_015810232.1,0,0,0,0
XM_015810233.1,0,0,0,0
XM_015810234.1,0,0,0,0
XM_015810236.1,0,0,0,0
XM_015810237.1,1,0,1,0
XM_015810238.1,0,0,0,1
XM_015810239.1,0,0,0,0
XM_015810240.1,1,0,0,1
XM_015810241.1,2,3,201,0
XM_015810242.1,0,0,0,0
XM_015810243.1,0,0,0,0
XM_015810244.2,0,0,0,0
XM_015810245.1,1,1,1,0
XM_015810246.1,0,0,0,0
XM_015810247.1,0,0,0,0
XM_015810248.1,0,0,0,0
XM_015810249.1,1,0,6095.8,2
XM_015810250.1,20385,9.5964,36710.9,11503.8
XM_015810251.2,0,1,0,1
XM_015810252.1,1,0,2745,1
XM_015810253.1,0,0,0,0
XM_015810254.1,0,0,0,0
XM_015810255.1,1,2,6047,1
XM_015810257.1,1,1,80,3
XM_015810258.1,0,0,4339,0
XM_015810259.1,1,1,2,1
XM_015810260.1,0,0,0,0
XM_015810261.1,0,0,0,2.32996
XM_015810262.1,0,0,0,0
XM_015810263.1,12,15,14742.9,50
XM_015810264.1,6675,4,9126,11823
XM_015810265.1,15,13,616,819
XM_015810266.1,7,5,7862,17707
XM_015810268.1,16436,19.2589,25564.3,10941.9
XM_015810270.1,1.2019,1,1628.44,7.38036
XM_015810271.1,0,2,2768,3
XM_015810273.1,3,0,8,1442
XM_015810274.1,0,0,1,0
XM_015810275.2,177,167,65154,85157
XM_015810276.1,1,0,2,0
XM_015810277.1,18192.7,36.1554,65803.8,39588.1
XM_015810278.2,0,6.92E-07,14.7501,0
XM_015810279.1,1,0,0,0
XM_015810280.1,3,1,175,2054
XM_015810281.1,8.34597,13.7431,7785.7,21451.1
XM_015810282.1,2,0,268.984,4
XM_015810283.1,0,0,0,0
XM_015810284.1,0,0,0,0
XM_015810285.1,0,0,0,0
XM_015810287.1,0,0,0,0
XM_015810288.1,0,0,0,0
XM_015810289.1,0,0,3014.2,1
XM_015810290.1,4,4,9154.69,1.52573
XM_015810291.1,3,1,11523.7,2.37752
