"","target_id","logFC","unshrunk.logFC","logCPM","PValue"
"3468","XM_015824100.1",-2.67206263872649,-2.68837742370602,2.56895391256706,0.00239673952584441
"3469","XM_015825277.1",-2.6702320072587,-2.67054559334686,7.82215449979523,0.00479342507784965
"3470","XR_001549019.2",-2.67014495938925,-2.67055537443197,7.37948317398847,0.00720066763761759
"3471","XM_015831854.1",-2.66991201582255,-2.67909087071719,3.67918880771509,2.85274177314034e-05
"3472","XM_015822966.1",-2.66512941677677,-2.66584082407782,6.68054424094173,2.42557905407713e-07
"3473","XM_015815815.1",-2.66166861561391,-2.6801312702155,3.23414241980891,0.0014432211612461
"3474","XM_015815917.1",-2.66034725105443,-2.6761528762293,3.70423148320715,0.00350987036634041
"3475","XM_015812787.1",-2.65682651964557,-2.65731213904737,7.08953383572772,0.0151307313558935
"3476","XM_015813084.1",-2.65559298402952,-2.66085455825235,3.82063633670175,0.000110903720424142
"3477","XM_015811441.1",-2.65465524938676,-2.6553586074337,6.81037595664872,0.000244220500534757
"3478","XM_015816434.1",-2.65460717244788,-2.66841179785574,2.30701745231198,0.0153234121567755
"3479","XM_015813660.2",-2.65389782756928,-2.67264048569232,3.58786424694237,0.00530738969872045
"3480","XM_015817386.2",-2.64760605687881,-2.65331950275113,4.87396635468215,0.0113510357880062
"3481","XM_015818505.1",-2.64113090906952,-2.64199402492932,6.24542519306217,4.05387552908417e-05
"3482","XM_015812689.1",-2.63903589038641,-2.64246165760677,4.33830184763643,6.11999510383441e-06
"3483","XM_015819117.1",-2.63586952078843,-2.64033923634035,3.81197479462801,0.000281177691962598
"3484","XM_015819902.2",-2.63294192425732,-2.6388643657776,3.8768073024798,2.18374139858228e-05
"3485","XM_015812071.1",-2.62995744408067,-2.63095068034724,5.94225492438741,0.00166179127430138
"3486","XM_029286895.1",-2.62937338790964,-2.63200373996777,4.66097314121169,0.00016522058761933
"3487","XM_015819812.2",-2.62424136920691,-2.62959258226172,4.35475121496253,0.0019846689184649
"3488","XM_015819934.1",-2.62383104934377,-2.63539438523571,3.93592531940377,0.0180446532862329
"3489","XM_015811157.2",-2.62075542302187,-2.63250515085325,2.49322478413802,2.99330134395101e-05
"3490","XM_015819794.1",-2.62008241301271,-2.62074920921276,6.72991322048597,0.00388922026820913
"3491","XM_015831495.1",-2.61025331445141,-2.61364393035719,4.61650396647986,0.00144614163329496
"3492","XM_015816153.1",-2.60692624677912,-2.60914509657128,5.38446321526658,2.82596778528088e-05
"3493","XM_015813301.1",-2.60447580266746,-2.63561042588642,2.91085691713703,0.0202070002105608
"3494","XM_015813517.2",-2.60311766092588,-2.61124832128365,3.23877092768252,0.000577210168516864
"3495","XM_015819043.1",-2.60266136482914,-2.61747056601838,3.69691773177374,0.00405523712732181
"3496","XM_015813823.1",-2.60226495624943,-2.60309105830797,6.33936935114728,3.21171804944951e-05
"3497","XM_015812611.1",-2.60055523408783,-2.60482514922385,3.92321809134421,0.00179302119389426
"3498","XM_015828276.1",-2.59274323402394,-2.61149330624017,2.65681543279895,0.00497012859935998
"3499","XM_015816848.1",-2.58549904708665,-2.58734863649955,5.68189201145165,0.000446059996276521
"3500","XM_029283950.1",-2.57772667956176,-2.5834110945588,4.16519763479022,0.000615932988581193
"3501","XM_015830426.1",-2.57724315838809,-2.5808916171333,4.47869627153563,0.000625756734685431
"3502","XM_015811199.1",-2.57633013580225,-2.57965597958628,4.14297272136668,0.00229644235601726
"3503","XM_015816590.1",-2.57294716132348,-2.57511349796335,5.24113076439849,1.12577232082688e-05
"3504","XM_015819125.2",-2.57271396755834,-2.5829138835626,3.30357625364372,0.00701936614285977
"3505","XM_015815401.1",-2.56785388180555,-2.5764437925029,2.86070717104973,1.5042511938531e-05
"3506","XM_015823987.1",-2.56757385899621,-2.58853877035052,1.81327679374611,0.00268288691382867
"3507","XM_029287251.1",-2.56549123951109,-2.57893031847107,2.23788970581046,0.000502189374667305
"3508","XM_015820526.1",-2.5608283088088,-2.57034055353251,2.68854895714936,0.0011312375419549
"3509","XM_015821700.1",-2.56012096281228,-2.57051448284428,2.97573819718624,0.000204045753167793
"3510","XM_029285788.1",-2.55828397949082,-2.58122329533001,2.90411132507059,0.00275412852000535
"3511","XM_015822692.1",-2.55718818029541,-2.56246854052067,4.50333133224732,0.00149152342402544
"3512","XM_015815993.1",-2.55714001169378,-2.56522635572625,3.27986923975851,0.000310691660853054
"3513","XM_015810433.1",-2.5476609552525,-2.55626309601265,4.21616007208948,0.0323971743910762
"3514","XM_015819791.1",-2.54579942544634,-2.54691044084942,5.87915410046229,0.000294900379625199
"3515","XM_015817599.1",-2.54395050628129,-2.54432861775648,7.45508994379454,6.41145448098477e-07
"3516","XM_015821335.1",-2.54379271648851,-2.54473930663206,6.54624402163482,0.00020631179776605
"3517","XM_015832520.2",-2.54343863260042,-2.54560966202696,5.76371696799984,0.0456218746059223
"3518","XM_015822403.1",-2.54219641842282,-2.54867100007712,3.81339759167887,0.00174648480712707
"3519","XM_015820798.1",-2.54183773976842,-2.54546292545834,5.12375124740475,0.0145347780983408
"3520","XM_015811169.1",-2.53520256510033,-2.53619445322529,6.05064129915358,0.000116411136469517
"3521","XM_015810282.1",-2.53496996504291,-2.53815476502143,4.44626634204075,0.000756803138572298
"3522","XM_015832367.1",-2.53141508244771,-2.53347683467086,4.75316618888025,0.000328126448933936
"3523","XM_015831921.1",-2.5262353926111,-2.52681278423017,6.88020793201138,0.000277985531011047
"3524","XM_015816715.1",-2.51800920203872,-2.52172704289136,4.64583508285604,4.06232276445785e-05
"3525","XM_015822706.2",-2.51336582021787,-2.51682444095609,4.17851020678122,0.000108693203594983
"3526","XM_015819958.1",-2.51136695226207,-2.52045736827632,2.70709253558022,0.00341952040625888
"3527","XM_015813800.2",-2.50998880496444,-2.51018350955957,8.34435239162057,0.0314658656051143
"3528","XM_015817868.1",-2.50638972281319,-2.51415230315299,3.19028724900352,1.29356406860376e-05
"3529","XM_015815256.2",-2.50619373522983,-2.50738790646728,5.74715266362582,6.037195902075e-05
"3530","XM_015814039.1",-2.50589900801444,-2.50729314944265,5.42084249694024,4.2365812741565e-05
"3531","XM_015818971.1",-2.50226196639473,-2.5080537009918,4.50156403214559,0.0056391756505042
"3532","XM_015831937.1",-2.49707031461277,-2.50202346710331,3.5036645322747,0.000340905061564025
"3533","XM_015823157.1",-2.49044808799069,-2.5034662940875,3.53191911743034,0.00434303953412332
"3534","XM_015831824.1",-2.48971407985655,-2.49078367242779,5.97479010872954,0.000141156770861113
"3535","XM_029284097.1",-2.48726159493102,-2.50318359901229,1.90462853738567,0.00199774965938607
"3536","XM_015824008.1",-2.47957733526118,-2.48297788620902,5.01258691716151,0.000415669691497432
"3537","XM_015813847.1",-2.47232028177199,-2.47507314825942,4.27891061134823,8.60807082266475e-05
"3538","XM_015830430.1",-2.4670992836058,-2.46986049938687,4.96050048829573,1.59536823613988e-05
